Clinic,street1,street2,city,state,zip,county,phone,website,lat,lon,treatment
CVHSCaroline,102 W Broaddus Ave STE 200,NA,Bowling Green,VA,22427,,804-632-1030,http://www.cvhsinc.org,38.0546017,-77.35133565,HC
CVHSCharlesCity,9950 Courthouse Rd,NA,Charles City,VA,23030,,804-829-6600,http://www.cvhsinc.org,37.35271198,-77.07502253,HC
CVHSCharlotte,165 Legrande Ave,NA,Charlotte Court House,VA,23923,,434-542-5560,http://www.cvhsinc.org,37.05433857,-78.63698851,HC
CVHSCharlottesville,1101 E Jefferson St STE 1,NA,Charlottesville,VA,22902,,434-227-5624,http://www.cvhsinc.org,38.02945326,-78.47127451,HC
CVHSCharlottesvilleAdmin,901 Preston Ave STE 301,NA,Charlottesville,VA,22903,,434-227-5624,http://cvhsinc.org,38.03731633,-78.48860954,HC
CVHSChildren'sDental,17202 Richmond Tpke,NA,Milford,VA,22514,,804-633-5465,,38.02450069,-77.33964214,HC
CVHS-CrimsonClinic,3101 Johnson Rd,NA,Petersburg,VA,23805,,804-972-0068,,37.18570398,-77.39814498,HC
CVHSDowntownPetersburg,25 S Union St,NA,Petersburg,VA,23803,,434-581-4073,http://www.cvhsinc.org,37.22665075,-77.40442784,HC
CVHSFarmville,833 Buffalo St STE 200,NA,Farmville,VA,23901,,434-392-8177,http://www.cvhsinc.org,37.30431043,-78.40464911,HC
CVHSFredericksburg,1965 Emancipation Hwy STE 100,NA,Fredericksburg,VA,22401,,540-735-0560,http://cvhsinc.org,38.28498899,-77.48792245,HC
CVHSHopewell-PrinceGeorge,4260 Crossings Blvd STE 2,NA,Prince George,VA,23875,,804-452-5800,http://www.cvhsinc.org,37.25713666,-77.32616463,HC
CVHSKingWilliam,11814 King William Rd,NA,Aylett,VA,23009,,804-769-3022,http://www.cvhsinc.org,37.74744342,-77.13728012,HC
CVHSLouisa,115 Jefferson Hwy STE 9,NA,Louisa,VA,23093,,540-967-9401,http://www.cvhsinc.org,38.0152223,-77.98842056,HC
CVHSPetersburg,321 Poplar Dr STE C,NA,Petersburg,VA,23805,,804-733-5591,http://www.cvhsinc.org,37.18943083,-77.36286362,HC
CVHS -PetersburgRecovery,541 S Sycamore St,NA,Petersburg,VA,23803,,804-835-6100,http://www.cvhsinc.org,37.21925834,-77.40005077,HC
CVHSPeterson,800 Preston Ave,NA,Charlottesville,VA,22903,,434-979-0366,http://www.cvhsinc.org,38.03678077,-78.4883601,HC
CVHSSouthernAlbemarle,2256 Irish Rd,NA,Esmont,VA,22937,,434-286-3602,http://www.cvhsinc.org,37.81926087,-78.58248099,HC
CVHSWestmoreland,18849 Kings Hwy,NA,Montross,VA,22520,,804-493-9999,http://www.cvhsinc.org,38.07728443,-76.78219705,HC
"CynthiaBlainBettinger, ",408 W 31 Street,NA,Richmond,VA,23225,,804-310-7805,,37.5167,-77.4656,BUPREN
"CynthiaDavisBarker,NP",480 Mount Cross Rd,NA,Danville,VA,24540,PITTSYLVANIA,,,36.5954,-79.4275,BUPREN
"CynthiaReneeTaylor,FNP",255 Holston Rd,NA,Wytheville,VA,24382,WYTHE,276-227-0206,,36.9618,-81.0975,BUPREN
"CynthiaReneeTaylor,FNP",300 Valley St. NE,NA,Abingdon,VA,24210,WASHINGTON,423-631-0432,,36.7142,-81.9671,BUPREN
"CynthiaReneeTaylor,FNP",198 Ross Carter Blvd,NA,Duffield,VA,24244,SCOTT,276-690-7161,,36.719,-82.796,BUPREN
"CynthiaSueShively,NP",30 Technology Drive,NA,Rocky Mount,VA,24151,FRANKLIN,540-483-0582,,37.0155,-79.8928,BUPREN
"CynthiaWrightTalton, ",1970 Roanoke Boulevard,NA,Salem,VA,24153,SALEM,540-982-2463,,37.2745,-80.0199,BUPREN
DailyPlanetHealth,511 W Grace St,NA,Richmond,VA,23220,,804-783-2505,http://www.dailyplanetva.org,37.547516,-77.44736938,HC
"DanaMichelleHurtAdams,PA",100 Knotbreak Road,NA,salem,VA,24153,SALEM,540-444-5670,,37.2877,-80.0406,BUPREN
"DanielleC.Gange,NP",4509 Whitechapel Drive,NA,Virginia Beach,VA,23455,VIRGINIA BEACH CITY,757-460-4655,,36.8323,-76.1558,BUPREN
"DanielMartinBecker, ",University of Virginia Hospital/Dept of General Medicine,1215 Lee Street,Charlottesville,VA,22908,ALBEMARLE,434-924-1685,,38.0312,-78.4988,BUPREN
"DanielSolomonAgeze, ",Bold Health,"561 Saxony Place, Suite 101",Encinitas,CA,92024,HENRICO,425-344-3949,,37.6529,-77.5802,BUPREN
DanvillePittsylvaniaCommunityServs,111 Center Street,NA,Gretna,VA,24557,Pittsylvania,434-799-0456,http://www.dpcs.org,36.9532019,-79.3615379,MH
DanvillePittsylvaniaCommunityServs,245 Hairston Street,NA,Danville,VA,24540,Danville City,434-793-4931,http://www.dpcs.org,36.5971182,-79.4162761,SU
"DaphneC.Jenkins,NP",101 Medical CT STE 206,NA,Martinsburg,WV,25401,FAIRFAX,703-955-6695,,38.78,-77.149,BUPREN
"DavidJosephRoberts, ",215 Roanoke Street,NA,Christiansburg,VA,24073,MONTGOMERY,540-381-0820,,37.1299,-80.4022,BUPREN
"David MacDonald,DO",5885 W. River Road,NA,Salem,VA,22936,ROANOKE,540-378-3834,,37.2461,-80.176,BUPREN
"DavidMMercer,NP",680 Preddy Creek Road,NA,Barboursville,VA,22923,GREENE,434-882-4950,,38.1977,-78.3849,BUPREN
"DavidScottHungate,PA",5673 Airport Road,NA,Roanoke,VA,24012,ROANOKE,540-523-8080,,37.3238,-79.961,BUPREN
"DeborahCarolA.Jenkins, ",214 Park AvenueWise Va 24293,NA,Wise,VA,24293,WISE,276-220-3097,,36.9762,-82.5723,BUPREN
"DelindaKWoody, ",311 South Monroe St,NA,COVINGTON,VA,24426,AUGUSTA,540-965-2100,,38.1274,-79.0301,BUPREN
"Deniece Batichon,PA",736 North Battlefield Boulevard,NA,Chesapeake,VA,23508,CHESAPEAKE CITY,703-589-2660,,36.7457,-76.2464,BUPREN
"DeniseDeshiledsLester,MD",1201 Broad Rock Boulevard,McGuire VA Medical Center,Richmond,VA,23249,RICHMOND CITY,804-675-5188,,37.498,-77.4668,BUPREN
DepartmentOfVeteransAffairsMedicalCenter -OpioidAgonistTreatmentProgram,1201 Broad Rock Blvd.,NA,Richmond,VA,23249,,804 675-5000,,37.498729,-77.470193,OTP
DeptOfPsychAndBehavMedicine,2017 South Jefferson Street,NA,Roanoke,VA,24014,Roanoke City,540-981-7000,http://www.carilionclinic.org/,37.2502922,-79.9446888,SU
"DianeElizabethBoyer, ",Region Ten Community Services Board,800 Preston Avenue,Charlottesville,VA,22903,CHARLOTTESVILLE CITY,434-972-1781,,38.0076,-78.5201,BUPREN
DinwiddieCounselingServices,13900 Courthouse Road,Suite C,Dinwiddie,VA,23841,Dinwiddie,804-469-3746,http://www.d19csb.com,37.0807326,-77.5850965,MH
DinwiddieMedicalCenter,13855 Courthouse Rd,NA,Dinwiddie,VA,23841,,804-469-3731,,37.08205819,-77.58474081,HC
DiscoveryMoodAndAnxietyProgram,10416 Burke Lake Road,NA,Fairfax Station,VA,22039,Fairfax,877-514-4723,http://,38.7725064,-77.3054733,MH
District 19CommunityServicesBoard,20 West Bank Street,Suite 5,Petersburg,VA,23803,Petersburg City,804-862-8002,http://www.d19csb.com,37.2313949,-77.4054209,MH
"DonnaMarieBrown,NP",2505 pocoshock place,Suite 101,north chesterfield,VA,23235,CHESTERFIELD,804-349-4491,,37.4684,-77.5353,BUPREN
"DonnaMarieBrown,NP",4212 Park Place Court,NA,Glen Allen,VA,23060,HENRICO,804-332-5950,,37.6206,-77.5562,BUPREN
"Dr.AaronNathanHartman,M.D.",13911 St. Francis Boulevard,Suite 101,Midlothian,VA,23114,CHESTERFIELD,804-320-3999,,37.4665,-77.6627,BUPREN
"Dr.AbdallaIshagAdam,M.D.",6066 Leesburg Pike,Suite 620,Falls Church,VA,22041,FAIRFAX,703-637-9684,,38.8578,-77.1419,BUPREN
"Dr.AbdulLAmir,M.D.",5770 East Parham Road,Suite 208,Richmond,VA,23294,HENRICO,804-977-2728,,37.6297,-77.5191,BUPREN
"Dr.Abraham Asmamaw,M.D.",125  Hospital Center Drive,Suite 309,Stafford,VA,22554,STAFFORD,540-657-6304,,38.4152,-77.4072,BUPREN
"Dr.Abraham Asmamaw,M.D.",6138 Redwood Square,Suite 204,Centerville,VA,20121,FAIRFAX,703-229-5453,,38.8298,-77.4333,BUPREN
"Dr.Abraham Asmamaw,M.D.",5350  Shawnee Road,Suite 305,Alexandria,VA,22312,FAIRFAX,703-914-8050,,38.8066,-77.1672,BUPREN
"Dr.AhmedM.Damtew,M.D.",2501 PARKERS Lane,NA,Alexandria,VA,22306,FAIRFAX,703-660-8100,,38.7397,-77.077,BUPREN
"Dr.AhmedM.Damtew,M.D.",6910 RICHMOND HWY,NA,Suite 110,VA,22306,FAIRFAX,703-660-8100,,38.7678,-77.083,BUPREN
"Dr.AishatAinaShielu,M.D.",793 West Main,Suite 7,Abingdon,VA,24210,WASHINGTON,276-525-4091,,36.7052,-81.9979,BUPREN
"Dr.Ajay Manhapra,AjayManhapra",9652 27th Bay Street,NA,Norfolk,VA,23518,NORFOLK CITY,231-288-4848,,36.9287,-76.1849,BUPREN
"Dr.AlanM.Cooper,M.D.",Lynchburg Family Medicine Residency Program,"2323 Memorial Avenue, Ste 10",Lynchburg,VA,24501,LYNCHBURG CITY,434-200-5200,,37.3511,-79.0306,BUPREN
"Dr.AlkeshBhupendraGajjar,M.D.",2244 Executive Drive,NA,Hampton,VA,23666,HAMPTON CITY,757-827-3670,,37.0537,-76.3955,BUPREN
"Dr.AltaJDeRoo,M.D.",650 Laurel Street,Community Services Board - Behavioral Health,Culpeper,VA,22701,CULPEPER,540-825-5656,,38.456,-78.0145,BUPREN
"Dr.AmandaHainesRitter,MD",VCU HealthÂ Dept of OB/GYN,1250 E Marshall Street,Richmond,VA,23298,,804-628-7023,,37.5405,-77.4305,BUPREN
"Dr.AmandaNicoleCarrera-Alvarez,MD",Kaiser Permanente Burke Medical Center,5999 Burke Commons Road,Burke,VA,22015,FAIRFAX,703-249-7200,,38.7886,-77.2978,BUPREN
"Dr.AmenraF.Tuason,M.D.",McGuire VAMC,1201 Broad Rock Boulevard,Richmond,VA,23249,RICHMOND CITY,804-675-5000,,37.498,-77.4668,BUPREN
"Dr.AmyLeighBeyer, ",2611 Thomas Jefferson Parkway,NA,Palmyra,VA,22963,ALBEMARLE,434-423-4311,,38.069,-78.4819,BUPREN
"Dr.AndreaReneeCobb,MD",5060 Valley View Boulevard  NW,NA,Roanoke,VA,24012,ROANOKE,540-278-1051,,37.3092,-79.9699,BUPREN
"Dr.Andreea Adiaconitei,M.D.",Family Growth Center,"8000 Forbes Place, Suite 201",Springfield,VA,22151,FAIRFAX,703-425-9200,,38.8082,-77.2209,BUPREN
"Dr.AnilR.Hinnaria,M.D.",12486 Rose Path Circle,NA,Fairfax,VA,22033,FAIRFAX,571-594-1755,,38.8699,-77.3767,BUPREN
"Dr.AnilR.Hinnaria,M.D.",9512 B Lee Highway,NA,Fairfax,VA,22031,FAIRFAX,571-594-1755,,38.8679,-77.2736,BUPREN
"Dr.AnneHedgesHorst,MD",Marion Correctional Treatment Center,110 Wright street,Marion,VA,24354,SMYTH,804-773-8650,,36.8313,-81.509,BUPREN
"Dr.AnthonyL.Dragovich,M.D.",1802 Braeburn Drive,NA,Salem,VA,24153,SALEM,540-444-5670,,37.2633,-80.0312,BUPREN
"Dr.Antonio Castillo,M.D.",Calle 31 AE 20Urb. Interamericana,NA,Trujillo Alto,PR,976,TRUJILLO ALTO,787-212-9163,,38.8947,-77.0703,BUPREN
"Dr.Antony Fernandez,M.D.",7427 Brook Road,NA,Richmond,VA,23227,HENRICO,804-301-5186,,37.6249,-77.4576,BUPREN
"Dr.ArmandoJabariWyatt, ",2115 Executive Drive,NA,Hampton,VA,23666,HAMPTON CITY,757-826-0020,,37.0477,-76.3982,BUPREN
"Dr.Ashish Behl,M.D.",5589 Greenwich Road,Suite 175,Virginia Beach,VA,23462,VIRGINIA BEACH CITY,757-271-3146,,36.8427,-76.1801,BUPREN
"Dr.AshleyK.Miller,M.D.",43130 Amberwood Plaza,Suite 140,South Riding,VA,20152,LOUDOUN,703-348-0030,,38.9235,-77.51,BUPREN
"Dr.AshutoshB.Diwan,M.D.",Piedmont Family Practice,"493 Blackwell Road, Suite 202",Warrenton,VA,20186,FAUQUIER,540-341-1710,,38.7251,-77.7898,BUPREN
"Dr.AshutoshB.Diwan,M.D.",St. Jude's Recovery Center,112 E,Front Royal,VA,22630,WARREN,540-749-2040,,38.9182,-78.1944,BUPREN
"Dr.AshutoshB.Diwan,M.D.","Virginia Pain and Addiction Consultants, PLC",9309 Center St #101,Manassas,VA,20110,,703-828-6475,,38.7501,-77.4783,BUPREN
"Dr.AshutoshB.Diwan,M.D.",Winchester Addiction Services,3042 Valley Avenue Ste 110,Winchester,VA,22601,,540-450-2206,,39.1436,-78.1888,BUPREN
"Dr.AudreyMRushin,MD",8110 Gatehouse Road,NA,Falls Church,VA,22042,FAIRFAX,703-737-2110,,38.8696,-77.225,BUPREN
"Dr.AyeshaM.Mian,M.D.",1110 North Glebe Road,Suite 200,Arlington,VA,22201,ARLINGTON,703-261-4618,,38.8841,-77.1171,BUPREN
"Dr.AzharNiazRana,MD",201 Interstate Drive,NA,Covington,VA,24426,ALLEGHANY,540-962-1402,,37.7754,-79.9704,BUPREN
"Dr.AzharNiazRana,MD",2677 Steelsburgh Highway,Suite 5,Cedar Buff,VA,24609,TAZEWELL,276-345-9499,,37.0455,-81.7845,BUPREN
"Dr.BaljitSinghGill,MD",128 Chinquapin Orchard,NA,Yorktown,VA,23693,YORK,757-722-9961,,37.1287,-76.4169,BUPREN
"Dr.Banerje Koduru, ",3212 Cutshaw Avenue,NA,Richmond,VA,23230,RICHMOND CITY,804-353-3324,,37.5659,-77.4756,BUPREN
"Dr.Barnell Phillips,III,M.D.",Harm Reduction Center,2801 N Flagler Dr,West Palm Beach,FL,33407,PALM BEACH,561-400-4573,,37.0704,-76.3602,BUPREN
"Dr.BenjaminGuyWithers,M.D.",Fort Belvoir Community Hospital,9300 DeWitt Loop,Fort Belvoir,VA,22060,FAIRFAX,703-350-1219,,38.7056,-77.1434,BUPREN
"Dr.BenjaminO.Yarbrough,M.D.",Route 1,Box I-0,Meadville,MS,39653,FRANKLIN,601-384-3199,,37.2267,-77.4014,BUPREN
"Dr.BhagwanA.Bahroo,M.D.",Columbia Associates in Psychiatry,6760 Old McLean Village Drive,McLean,VA,22101,MONTGOMERY,301-400-2103,,38.9018,-77.1265,BUPREN
"Dr.BrendaSueWaller,M.D.",1935 Thomson Drive,NA,Lynchburg,VA,24501,LYNCHBURG CITY,434-528-0896,,37.4181,-79.1758,BUPREN
"Dr.Brian Meier,MD",1906 Belleview Avenue SE,NA,Roanoke,VA,24014,ROANOKE CITY,540-981-7000,,37.2517,-79.9411,BUPREN
"Dr.BrianPhilipMurray,M.D.",110 kingsley lane,suite 410,norfolk,VA,23505,,757-489-1215,,36.8985,-76.2808,BUPREN
"Dr.BrianPhilipMurray,M.D.",5715 Princess Anne Road,NA,Virginia Beach,VA,23462,VIRGINIA BEACH CITY,757-962-0748,,36.8399,-76.1839,BUPREN
"Dr.BrianWilliamHanrahan,M.D.",16006 Alsdell Road,NA,Midlothian,VA,23112,CHESTERFIELD,804-370-9288,,37.4798,-77.7084,BUPREN
"Dr.Bruce Mayer,MD",12695 McManus Boulevard,Building 2,Newport News,VA,23602,NEWPORT NEWS CITY,757-566-2045,,37.1411,-76.5129,BUPREN
"Dr.BruceRichardSelman,M.D.",1840 Amherst Street,NA,Winchester,VA,22604,WINCHESTER CITY,804-334-8688,,39.3103,-78.32,BUPREN
"Dr.CaitlinEMartin, ",VCU Health MOTIVATE Clinic at Jackson Center,501 N 2nd St #100,Richmond,VA,23219,GOOCHLAND,804-628-6777,,37.54,-77.4297,BUPREN
"Dr.CalebCliftonPagliasotti,MD",1970 Roanoke Blvd,NA,Salem,VA,24153,SALEM,540-982-2463,,37.2503,-79.9447,BUPREN
"Dr.CarolinaA.Klein,MD",3850 Elmwood Towne Way,NA,Alexandria,VA,22303,FAIRFAX,202-596-9585,,38.802,-77.0998,BUPREN
"Dr.CarolineVictoriaCoster,MD",10299 Woodman Road,NA,Glen Allen,VA,26060,HENRICO,804-727-8500,,37.654,-77.4936,BUPREN
"Dr.Catherine Bagley,MD",7603 Forest Avenue,Suite 207,Richmond,VA,23229,HENRICO,804-523-3712,,37.6045,-77.5401,BUPREN
"Dr.CessarLeniaScott,M.D.",Burke Medical Center,5999 Burke Commons Road,Burke,VA,22015,FAIRFAX,703-249-7213,,38.7886,-77.2978,BUPREN
"Dr.ChannavajjalaM.Prasad,M.D.",611 South Carlin Springs Road,Suite 301,Arlington,VA,22204,ARLINGTON,703-578-0600,,38.8594,-77.1264,BUPREN
"Dr.CharlesAldwinMiddelhof, ",640 Warrior Drive,Suite 109,Stephens City,VA,22655,FREDERICK,540-868-2511,,39.0906,-78.1795,BUPREN
"Dr.CharlesNathanWebb,M.D.",VCU Medical Center / Women's Health at Nelson Clinic,1101 East Marshall St  # 980034,Richmond,VA,23298,RICHMOND CITY,804-828-4409,,37.5433,-77.4293,BUPREN
"Dr.Cherian Joseph,M.D.",10 Leeland Road,Suite 104,Fredericksburg,VA,22407,SPOTSYLVANIA,540-242-4141,,38.33,-77.4351,BUPREN
"Dr.ChidehaMacDonaldOhuoha,M.D.",9300 Dewitt Circle,NA,Fort Belvoir,VA,22060,FAIRFAX,301-997-0125,,38.7056,-77.1434,BUPREN
"Dr.ChristineLeeanneYoung,MD",1906 Belleview Drive SE,NA,Roanoke,VA,24014,,540-597-7931,,37.2513,-79.9419,BUPREN
"Dr.ChristineMauraDaly,MD",8452 Renalds Avenue,NA,Marshall,VA,20115,FAUQUIER,571-236-0602,,38.8633,-77.852,BUPREN
"Dr.ChristopherAlanSendi,MD",8101 Hinson Farm Rd.,Suite 201,Alexandria,VA,22306,ALEXANDRIA CITY,703-844-0184,,38.7371,-77.0772,BUPREN
"Dr.ChristopherLivingstoneGibert,M.D.",101 North Lynnhaven Road,Suite 100,Virginia Beach,VA,23452,VIRGINIA BEACH CITY,757-321-0795,,36.8395,-76.0692,BUPREN
"Dr.ChristopherPeterHolstege, ",1215 Lee Street,NA,Charlottesville,VA,22903,CHARLOTTESVILLE CITY,434-924-5185,,38.0312,-78.4988,BUPREN
"Dr.Christopher Schubert,MD","1765 Greensboro Station Place, Suite 900",NA,McLean,VA,22102,FAYETTE,703-539-2675,,38.9223,-77.2336,BUPREN
"Dr.CindyYihongZhang,M.D.",6120 Brandon Avenue,Suite 201,Springfield,VA,22150,FAIRFAX,703-923-9536,,38.7837,-77.1823,BUPREN
"Dr.ClaudeLeRoyColeman,M.D.",1319 Spratley Street,NA,Portsmouth,VA,23704,PORTSMOUTH CITY,757-656-4628,,36.8439,-76.3151,BUPREN
"Dr.ColleenA.Blanchfield,M.D.",11490 Commerce Park Drive Suite 420,NA,Reston,VA,20191,FAIRFAX,703-481-9111,,38.9463,-77.3429,BUPREN
"Dr.ColleenA.Blanchfield,M.D.",11150 Sunset Hills,NA,Reston,VA,20190,FAIRFAX,703-481-9111,,38.9481,-77.3304,BUPREN
"Dr.ConstantineNjomoChienku,MD",8708  SUDLEY ROAD,NA,MANASSAS,VA,20110,MANASSAS CITY,703-361-4357,,38.7669,-77.4851,BUPREN
"Dr.CraigAllanRoss,M.D.",4601 Ironbound Road,NA,Williamsburg,VA,23188,YORK,757-253-5161,,37.2902,-76.7353,BUPREN
"Dr.CraigMunCongSharkey,MD",736 N Battlefield Boulevard,NA,Chesapeake,VA,23320,CHESAPEAKE CITY,757-312-6200,,36.7463,-76.2458,BUPREN
"Dr.CraigStevenHayek,M.D.",956 Ferryman Quay,NA,Chesapeake,VA,23323,CHESAPEAKE CITY,757-404-1142,,36.7619,-76.3266,BUPREN
"Dr.CraigW.Swainey,M.D.","204 N. Hamilton Street, Suite B",NA,Richmond,VA,23221,HENRICO,804-353-1230,,37.6206,-77.5562,BUPREN
"Dr.DanaScottBarlow,M.D.",928 East 5th Street North,NA,Big Stone Gap,VA,24219,WISE,276-524-1906,,36.876,-82.7805,BUPREN
"Dr.Daniel Halpert,D.O.",2002 Orange Road,Ste 201,Culpeper,VA,22701,CULPEPER,540-423-6239,,38.4542,-78.0017,BUPREN
"Dr.DanielJ.Noonan,M.D.",3917 Blenheim Boulevard,Unit 11D,Fairfax,VA,22030,FAIRFAX,703-691-4000,,38.8469,-77.3021,BUPREN
"Dr.DanteGaceroRichardson,MD",3033 Wilson Blvd.,STE 700,Arlington,VA,22201,ARLINGTON,703-558-9148,,38.8882,-77.0945,BUPREN
"Dr.DanteGaceroRichardson,MD",3033 Wilson Blvd STE 700,NA,Arlington,VA,22201,ARLINGTON,703-558-9148,,38.8882,-77.0945,BUPREN
"Dr.DaoQuynhLuong, ",Greensville Correctional Center,901 Correction Way,Jarratt,VA,23870,GREENSVILLE,434-602-3138,,36.7968,-77.4828,BUPREN
"Dr.DarinLeeChristensen,M.D.",19 Briar Knoll Court,Unit #1,Fishersville,VA,22939,AUGUSTA,540-949-0955,,38.079,-78.9887,BUPREN
"Dr.DarrellKevinBlackwell,D.O.",1490 Park Avenue NW,Suite 5,Norton,VA,24273,NORTON CITY,276-679-8869,,36.9304,-82.6408,BUPREN
"Dr.DarrenSteeleBeasley,MD",Right Path Treatment Centers,101 N Lynnhaven Road Ste 100,Virginia Beach,VA,23452,VIRGINIA BEACH CITY,757-264-9957,,36.8395,-76.0692,BUPREN
"Dr.DavidGeoffreyAllingham,M.D.",2915 Hunter Mill Road,Suite 11,Oakton,VA,22124,FAIRFAX,703-255-1190,,38.8823,-77.3005,BUPREN
"Dr.DavidHallmarkRyan,MD",2577 West Fifth Street,NA,Greenville,NC,27834,BEAUFORT,252-830-3426,,37.5483,-77.4366,BUPREN
"Dr.DavidJ.Dalrymple,M.D.",165 Peppers Ferry Road,NA,Wytheville,VA,24382,WYTHE,276-223-5400,,36.9548,-81.0777,BUPREN
"Dr.DavidKeithLangille,M.D.",Right Path Treatment Center,11745 Jefferson Avenue Unit #7,Newport News,VA,23606,NEWPORT NEWS CITY,757-913-5920,,37.082,-76.4809,BUPREN
"Dr.DavidW.Hartman,M.D.",Carilion Behavioral Health Psychiatric,"2017 South Jefferson, 2nd Floor",Roanoke,VA,24014,ROANOKE CITY,540-981-8025,,37.2499,-79.9446,BUPREN
"Dr.DavidWMunter,MD",812 Poplar Forest Court,NA,Chesapeake,VA,23322,VIRGINIA BEACH CITY,757-264-9957,,36.6922,-76.2813,BUPREN
"Dr.DebraWalkerO'Beirne,M.D.",4213 Walney Road,NA,Chantilly,VA,20151,FAIRFAX,703-502-7000,,38.8883,-77.4325,BUPREN
"Dr.Deepak Mittal,M.D.",2252 Souverain Lane,NA,Virginia Beach,VA,23454,VIRGINIA BEACH CITY,757-271-3146,,36.8847,-76.0428,BUPREN
"Dr.DennisLeeThomas,M.D.",2500 New Kent Highway,NA,Quinton,VA,23141,NEW KENT,804-932-4388,,37.5207,-77.1871,BUPREN
"Dr.DennisT.Cozzens,M.D.",4349 Ridgewood Center Drive,Suite 101,Woodbridge,VA,22192,PRINCE WILLIAM,703-897-8970,,38.6727,-77.3396,BUPREN
"Dr.DennisT.Cozzens,M.D.",1707 Osage Street,Suite 404,Alexandria,VA,22302,ALEXANDRIA CITY,703-824-8248,,38.8285,-77.0853,BUPREN
"Dr.DennyRayGoss,II,MD",388 Ben Bolt Avenue,NA,Tazewell,VA,24651,TAZEWELL,276-988-8777,,37.1239,-81.4892,BUPREN
"Dr.DierichMarkKaiser,D.O.",16000 Tryon Way,NA,Gainesville,VA,20155,PRINCE WILLIAM,703-895-6027,,38.778,-77.6489,BUPREN
"Dr.Donald Holzer,M.D.",3315 High Street,NA,Portsmouth,VA,23707,PORTSMOUTH CITY,757-399-0755,,36.834,-76.3427,BUPREN
"Dr.DouglasA.Brown,MD","5000 New Point Road., #3201",NA,Williamsburg,VA,23188,JAMES CITY,757-645-3558,,37.3091,-76.7527,BUPREN
"Dr.DouglasA.Brown,MD","5000 New Point Road, #3201",NA,Williamsburg,VA,23188,YORK,757-645-3558,,37.2707,-76.7075,BUPREN
"Dr.DouglasArthurSturm,DO",9320 Lee Avenue,NA,Manassas,VA,20110,PRINCE WILLIAM,540-741-1167,,38.7526,-77.4794,BUPREN
"Dr.DuaneEdwardDixon,M.D.",103 Clifton Street,Suite B,Lynchburg,VA,24501,LYNCHBURG CITY,434-528-4640,,37.4148,-79.1795,BUPREN
"Dr.DucKienTrieu,MD","1020 Bill Tuck Hwy, STE 900",NA,South Boston,VA,24592,HALIFAX,434-572-8921,,36.713,-78.9138,BUPREN
"Dr.DucKienTrieu,MD","7004 Little River Turnpike, Suite H",NA,Annandale,VA,22003,FAIRFAX,703-997-6677,,38.8296,-77.186,BUPREN
"Dr.EdnaE.Ekuban-Gordon,M.D.",Memorial Hospital Martinsville,142 south main street,danville,VA,24541,MARTINSVILLE CITY,336-669-7043,,36.6988,-79.8672,BUPREN
"Dr.EdwardCarpenterDillon,M.D.",3819 Danewood Drive,NA,Richmond,VA,23233,HENRICO,804-304-4080,,37.6483,-77.6284,BUPREN
"Dr.EdwardIsaacGelber,MD",Gelber Psychiatric Associates,1483 Chain Bridge Road Suite 304,McLean,VA,22101,FAIRFAX,703-650-9706,,38.9312,-77.1809,BUPREN
"Dr.Ehsan Abdeshahian,M.,D.",1802 augustine ave,NA,frederickburg,VA,22401,,,,38.303,-77.4799,BUPREN
"Dr.Ehsan Abdeshahian,M.,D.",3046 valley ave #100,NA,winchester,VA,22601,,,,39.1433,-78.1895,BUPREN
"Dr.ElizabethAnneYager, ",2900 Tyler Road,NA,Christiansburg,VA,24073,MONTGOMERY,540-731-7311,,37.0995,-80.5089,BUPREN
"Dr.ElizabethKathleenCollumb,MD",100 Emancipation Drive,HAMVAMC Psychiatry,Hampton,VA,23667,NORFOLK CITY,757-722-9961,,36.8603,-76.3036,BUPREN
"Dr.Elizabeth Rosner,MD",5999 Burke Commons Road,NA,Burke,VA,22015,FAIRFAX,703-249-7253,,38.7886,-77.2978,BUPREN
"Dr.Elizabeth Suh,MD",1200 N Howard Street,NA,Alexandria,VA,22304,,703-535-5568,,38.8218,-77.1055,BUPREN
"Dr.EricLloydJones,MD",1729 Wildwood Drive,Suite 103,Virginia Beach,VA,23454,NORFOLK CITY,757-938-3654,,36.8529,-76.2743,BUPREN
"Dr.EricLloydJones,MD","1729 Wildwood Dr. , Suite 103",NA,Virginia Beach,VA,23454,,757-938-3654,,36.8613,-76.0261,BUPREN
"Dr.ErikWGunderson,M.D.","Center for Wellness and Change, LLC",1007 E High Street,Charlottesville,VA,22902,CHARLOTTESVILLE CITY,434-202-8612,,38.032,-78.4702,BUPREN
"Dr.ErinAndreaKoscinski,DO",20083 Heron Circle,NA,Abingdon,VA,24211,WASHINGTON,570-417-4191,,36.6522,-81.9232,BUPREN
"Dr.EstherS.Ajjarapu,M.D",507 West Main Street,NA,Appalachia,VA,24216,WISE,276-565-2760,,36.9042,-82.7841,BUPREN
"Dr.EstherS.Ajjarapu,M.D",213 Monarch Road,NA,Saint Charles,VA,24282,LEE,276-383-4428,,36.8059,-83.0562,BUPREN
"Dr.EverettKirkLuder,MD",241 Greenhouse RD,RACSB,Lexington,VA,24450,ROCKBRIDGE,540-463-3141,,37.8043,-79.4253,BUPREN
"Dr.FarookA.Shaikh,M.D.",INOVA CATS,3300 Gallows Rd,Falls Church,VA,22042,FAIRFAX,703-776-7782,,38.8599,-77.2262,BUPREN
